Date,Open,High,Low,Close,Adj Close,Volume
2021-02-08,40.650001525878906,43.880001068115234,40.40999984741211,42.20000076293945,41.142356872558594,649200
2021-02-09,42.02000045776367,43.810001373291016,41.630001068115234,43.5,42.40977096557617,370200
2021-02-10,43.79999923706055,44.70000076293945,42.31999969482422,44.060001373291016,42.95573806762695,548800
2021-02-11,44.22999954223633,44.86000061035156,42.630001068115234,43.5,42.40977096557617,259700
2021-02-12,45.08000183105469,46.75,44.77000045776367,45.97999954223633,44.827613830566406,712400
2021-02-16,45.86000061035156,47.13999938964844,45.040000915527344,46.040000915527344,44.886112213134766,346200
2021-02-17,46.0,46.5,45.099998474121094,45.7599983215332,44.61313247680664,250200
2021-02-18,45.380001068115234,45.93000030517578,44.11000061035156,44.36000061035156,43.24821472167969,272100
2021-02-19,44.560001373291016,45.63999938964844,44.470001220703125,45.58000183105469,44.43764114379883,218500
2021-02-22,45.540000915527344,49.40999984741211,45.529998779296875,47.9900016784668,46.7872428894043,1357200
2021-02-23,47.83000183105469,49.189998626708984,47.099998474121094,48.95000076293945,47.72317886352539,760900
2021-02-24,49.16999816894531,50.209999084472656,47.45000076293945,47.689998626708984,46.494754791259766,634800
2021-02-25,47.5,48.099998474121094,46.83000183105469,47.459999084472656,46.2705192565918,281900
2021-02-26,47.5,48.18000030517578,46.04999923706055,47.04999923706055,45.87080001831055,276400
2021-03-01,48.380001068115234,48.58000183105469,47.529998779296875,47.619998931884766,46.426509857177734,303100
2021-03-02,47.59000015258789,48.04999923706055,46.86000061035156,46.900001525878906,45.72455978393555,324700
2021-03-03,47.02000045776367,48.75,46.900001525878906,47.45000076293945,46.26077651977539,290300
2021-03-04,47.0,47.599998474121094,45.400001525878906,46.68000030517578,45.51007080078125,391200
2021-03-05,47.529998779296875,47.959999084472656,45.720001220703125,47.22999954223633,46.046287536621094,362800
2021-03-08,47.5,48.459999084472656,47.0099983215332,47.619998931884766,46.426509857177734,364300
2021-03-09,48.06999969482422,48.06999969482422,45.810001373291016,46.11000061035156,44.9543571472168,353700
2021-03-10,46.45000076293945,47.31999969482422,46.11000061035156,47.2400016784668,46.05603790283203,295600
2021-03-11,47.689998626708984,49.0099983215332,46.7599983215332,48.880001068115234,47.654930114746094,266600
